MRN,FirstName,LastName,PhoneNumber,Zipcode
1234567,A,XXX,1112223333,10032
2345678,B,YYY,2223334444,17631
3456789,C,ZZZ,3334445555,72170
1112223,Bob,Smith,2411112222,10032
2223334,Mary,Jones,8572223333,43210
3334445,Alice,Teich,4193334444,72170
4445556,Bob,XXX,1112223333,10032
5556667,Bob,YYY,4445556666,10032
6667778,Bob,ZZZ,5556667777,10032
7778889,Bob,Jones,8572223333,43210
1256483,Jane,Bingley,7083833456,60005
1256484,Mary,Bennet,7083531234,60005
1256485,Kitty,Bennet,7083832648,60005
1256486,Lydia,Wickham,7083832643,60005
1256487,Elizabeth,Darcy,7083839874,60005
9532154,Meg,March,8473126459,21036
9532155,Jo,March,8472532251,21036
9532156,Beth,March,8472536669,21036
9532157,Amy,March,8472556497,21036
9532158,Margaret,March,8475261954,21036
8029645,Fitzwilliam ,Darcy,3122186123,60005
8034261,Charles,Bingley,3122086579,60005
8043219,George,Wickham,3122085564,60005
8053176,Caroline,Bingley,3126517159,60004
8062164,Georgiana,Darcy,3127152251,60004
